date,predator,cmbslifestage,density,replicate,eaten ,Notes
7/12/2022,lacewing,crawlers,1,1,1,
7/12/2022,lacewing,crawlers,1,2,1,
7/12/2022,lacewing,crawlers,1,3,1,
7/12/2022,lacewing,crawlers,1,4,1,
7/12/2022,lacewing,crawlers,1,5,1,
7/12/2022,lacewing,crawlers,2,1,2,
7/12/2022,lacewing,crawlers,2,2,2,
7/12/2022,lacewing,crawlers,2,3,,lacewing dead
7/12/2022,lacewing,crawlers,2,4,2,
7/12/2022,lacewing,crawlers,2,5,2,
7/12/2022,lacewing,crawlers,3,1,3,
7/12/2022,lacewing,crawlers,3,2,3,
7/12/2022,lacewing,crawlers,3,3,3,
7/12/2022,lacewing,crawlers,3,4,3,
7/12/2022,lacewing,crawlers,3,5,3,
7/12/2022,lacewing,crawlers,4,1,4,
7/12/2022,lacewing,crawlers,4,2,4,
7/12/2022,lacewing,crawlers,4,3,4,
7/12/2022,lacewing,crawlers,4,4,4,
7/12/2022,lacewing,crawlers,4,5,3,
7/12/2022,lacewing,crawlers,5,1,5,
7/12/2022,lacewing,crawlers,5,2,5,
7/12/2022,lacewing,crawlers,5,3,5,
7/12/2022,lacewing,crawlers,5,4,5,
7/12/2022,lacewing,crawlers,5,5,3,
7/12/2022,lacewing,eggs,20,1,20,
7/12/2022,lacewing,eggs,20,2,11,
7/12/2022,lacewing,eggs,20,3,20,
7/12/2022,lacewing,eggs,20,4,12,
7/12/2022,lacewing,eggs,20,5,8,
7/12/2022,lacewing,eggs,25,1,25,
7/12/2022,lacewing,eggs,25,2,23,
7/12/2022,lacewing,eggs,25,3,,lacewing injured
7/12/2022,lacewing,eggs,25,4,9,
7/12/2022,lacewing,eggs,25,5,0,
7/12/2022,lacewing,eggs,30,1,28,
7/12/2022,lacewing,eggs,30,2,4,
7/12/2022,lacewing,eggs,30,3,29,
7/12/2022,lacewing,eggs,30,4,21,
7/12/2022,lacewing,eggs,30,5,22,
7/21/2022,lacewing,eggs,12,1,8,
7/21/2022,lacewing,eggs,24,2,11,
7/21/2022,lacewing,eggs,9,3,9,
7/21/2022,lacewing,eggs,26,4,,lacewing dead
7/21/2022,lacewing,eggs,47,5,47,
7/21/2022,lacewing,eggs,9,6,9,
7/21/2022,lacewing,eggs,5,7,3,
7/21/2022,lacewing,eggs,22,8,22,
7/21/2022,lacewing,eggs,42,9,25,
7/21/2022,lacewing,eggs,30,10,28,
7/21/2022,lacewing,eggs,19,11,18,
7/21/2022,lacewing,eggs,18,12,18,
7/21/2022,lacewing,eggs,41,13,32,
7/21/2022,lacewing,eggs,16,14,3,
7/21/2022,lacewing,eggs,18,15,18,
7/21/2022,lacewing,eggs,23,16,18,
7/21/2022,lacewing,eggs,49,17,48,
7/21/2022,lacewing,eggs,28,18,28,
7/21/2022,lacewing,eggs,16,19,16,
7/21/2022,lacewing,eggs,38,20,38,
7/21/2022,lacewing,eggs,48,21,48,
7/21/2022,lacewing,eggs,16,22,16,
7/21/2022,lacewing,eggs,36,23,11,
7/21/2022,lacewing,eggs,30,24,30,
7/21/2022,lacewing,eggs,36,25,33,
7/21/2022,lacewing,ovisacs,3,1,2,
7/21/2022,lacewing,ovisacs,1,2,0,
7/21/2022,lacewing,ovisacs,3,3,1,
7/21/2022,lacewing,ovisacs,2,5,0,
8/3/2022,lacewing ,ovisacs,1,1,0,
8/3/2022,lacewing ,ovisacs,1,2,1,
8/3/2022,lacewing ,ovisacs,2,1,0,
8/3/2022,lacewing ,ovisacs,2,2,0,
8/3/2022,lacewing ,ovisacs,3,1,0,(puntured)
8/3/2022,lacewing ,ovisacs,3,2,0,
8/5/2022,lacewing ,crawlers,20,1,11,2 in crevice
8/5/2022,lacewing ,crawlers,1,2,0,
8/5/2022,lacewing ,crawlers,2,3,2,
8/5/2022,lacewing ,crawlers,2,4,2,
8/5/2022,lacewing ,crawlers,16,5,11,3 in crevice
8/5/2022,lacewing ,crawlers,15,6,5,7 in crevice
8/5/2022,lacewing ,crawlers,5,7,5,
8/5/2022,lacewing ,crawlers,18,8,18,4 in crevice
8/5/2022,lacewing ,crawlers,2,9,1,
8/5/2022,lacewing ,crawlers,5,10,4,
8/5/2022,lacewing ,crawlers,11,11,8,
8/5/2022,lacewing ,eggs,24,1,21,
8/5/2022,lacewing ,eggs,100,2,25,
8/5/2022,lacewing ,eggs,54,4,13,2 eggs to crawler
8/5/2022,lacewing ,eggs,68,5,49,
8/5/2022,lacewing ,eggs,1,6,1,
8/5/2022,lacewing ,eggs,13,7,5,
8/5/2022,lacewing ,eggs,98,8,29,
8/5/2022,lacewing ,eggs,45,9,14,
8/5/2022,lacewing ,eggs,20,10,12,2 eggs to crawler
8/5/2022,lacewing ,eggs,16,11,0,
8/5/2022,lacewing ,eggs,40,12,40,
8/5/2022,lacewing ,eggs,73,13,71,
8/5/2022,lacewing ,eggs,15,14,6,1 egg to crawler
8/5/2022,lacewing ,eggs,16,15,16,
8/5/2022,lacewing ,eggs,61,16,44,
8/5/2022,lacewing ,eggs,17,17,2,
8/5/2022,lacewing ,eggs,53,18,50,1 egg to crawler
8/5/2022,lacewing ,eggs,57,19,41,1 egg to crawler
8/5/2022,lacewing ,eggs,4,20,4,
8/5/2022,lacewing ,eggs,42,21,29,
8/5/2022,lacewing ,eggs,6,22,6,
8/5/2022,lacewing ,eggs,64,23,10,
8/5/2022,lacewing ,eggs,100,24,57,
8/5/2022,lacewing ,eggs,50,25,50,
8/19/2022,lacewing ,crawlers,9,10,4,
8/19/2022,lacewing ,eggs,53,1,17,
8/19/2022,lacewing ,eggs,91,2,85,
8/19/2022,lacewing ,eggs,54,3,54,
8/19/2022,lacewing ,eggs,72,5,,lw escaped
8/19/2022,lacewing ,eggs,90,6,90,
8/19/2022,lacewing ,eggs,84,7,,lw escaped
8/19/2022,lacewing ,eggs,87,8,64,
8/19/2022,lacewing ,eggs,70,9,11,
8/19/2022,lacewing ,eggs,76,10,,lw injured
8/19/2022,lacewing ,eggs,68,11,67,
8/19/2022,lacewing ,eggs,58,12,20,
8/19/2022,lacewing ,eggs,70,13,22,
8/19/2022,lacewing ,eggs,73,14,54,
8/19/2022,lacewing ,eggs,97,15,45,
8/19/2022,lacewing ,ovisacs,1,1,1,
8/19/2022,lacewing ,ovisacs,1,2,0,
8/19/2022,lacewing ,ovisacs,1,3,0,AC
8/19/2022,lacewing ,ovisacs,2,1,0,
8/19/2022,lacewing ,ovisacs,2,2,0,
8/19/2022,lacewing ,ovisacs,2,3,0,
8/19/2022,lacewing ,ovisacs,3,1,0,
8/19/2022,lacewing ,ovisacs,3,2,0,
8/19/2022,lacewing ,ovisacs,3,3,0,
8/19/2022,lacewing ,ovisacs,4,1,0,
8/19/2022,lacewing ,ovisacs,4,2,1,
8/19/2022,lacewing ,ovisacs,4,3,1,
8/19/2022,lacewing ,ovisacs,5,1,0,
8/19/2022,lacewing ,ovisacs,5,2,0,
8/19/2022,lacewing ,ovisacs,5,3,1,
9/20/2022,lacewing,crawlers,5,2,5,
9/20/2022,lacewing,crawlers,20,3,16,
9/20/2022,lacewing,crawlers,25,4,19,
9/20/2022,lacewing,crawlers,14,5,13,
9/20/2022,lacewing,crawlers,23,6,21,
9/20/2022,lacewing,crawlers,16,7,16,
9/20/2022,lacewing,crawlers,13,9,6,
9/20/2022,lacewing,crawlers,18,11,16,
9/20/2022,lacewing,crawlers,8,12,8,
9/20/2022,lacewing,crawlers,16,13,15,
9/20/2022,lacewing,crawlers,24,14,13,
9/20/2022,lacewing,crawlers,22,15,22,
9/20/2022,lacewing,eggs,51,1,51,
9/20/2022,lacewing,eggs,78,2,76,
9/20/2022,lacewing,eggs,70,3,61,
9/20/2022,lacewing,eggs,57,4,0,
9/20/2022,lacewing,eggs,75,5,70,
9/20/2022,lacewing,eggs,73,6,0,
9/20/2022,lacewing,eggs,93,7,6,
9/20/2022,lacewing,eggs,53,8,2,
9/20/2022,lacewing,eggs,74,9,2,AC
9/20/2022,lacewing,eggs,60,10,60,
9/20/2022,lacewing,eggs,72,11,1,
9/20/2022,lacewing,eggs,65,12,55,
9/20/2022,lacewing,eggs,55,13,55,
9/20/2022,lacewing,eggs,60,14,3,
9/20/2022,lacewing,eggs,80,15,3,
9/20/2022,lacewing,ovisacs,1,1,1,
9/20/2022,lacewing,ovisacs,1,2,0,
9/20/2022,lacewing,ovisacs,1,3,0,
9/20/2022,lacewing,ovisacs,2,1,0,
9/20/2022,lacewing,ovisacs,2,2,0,
9/20/2022,lacewing,ovisacs,2,3,0,
9/20/2022,lacewing,ovisacs,3,1,1,
9/20/2022,lacewing,ovisacs,3,2,0,
9/20/2022,lacewing,ovisacs,3,3,0,
9/20/2022,lacewing,ovisacs,4,1,0,
9/20/2022,lacewing,ovisacs,4,2,0,AC
9/20/2022,lacewing,ovisacs,4,3,0,
9/20/2022,lacewing,ovisacs,5,1,0,
9/20/2022,lacewing,ovisacs,5,2,0,
9/20/2022,lacewing,ovisacs,5,3,2,
9/30/2022,lacewing,ovisacs,4,1,1,
9/30/2022,lacewing,ovisacs,7,2,0,
9/30/2022,lacewing,ovisacs,1,3,,lw escaped
9/30/2022,lacewing,ovisacs,2,4,2,
9/30/2022,lacewing,ovisacs,8,5,2,
9/30/2022,lacewing,ovisacs,8,7,1,
9/30/2022,lacewing,ovisacs,1,8,0,
9/30/2022,lacewing,ovisacs,3,9,0,
9/30/2022,lacewing,ovisacs,4,11,1,
9/30/2022,lacewing,ovisacs,2,12,1,
9/30/2022,lacewing,ovisacs,9,13,0,
9/30/2022,lacewing,ovisacs,2,15,1,
10/3/2022,lacewing,eggs,109,3,89,
10/3/2022,lacewing,eggs,125,4,70,
10/3/2022,lacewing,eggs,107,6,106,
10/3/2022,lacewing,eggs,121,7,41,
10/3/2022,lacewing,eggs,144,8,61,
10/3/2022,lacewing,eggs,138,10,116,
10/3/2022,lacewing,eggs,150,11,5,
10/3/2022,lacewing,eggs,122,12,112,
10/3/2022,lacewing,eggs,144,13,1,
10/3/2022,lacewing,eggs,143,15,111,
10/3/2022,lacewing,ovisacs,6,1,0,
10/3/2022,lacewing,ovisacs,6,2,0,
10/3/2022,lacewing,ovisacs,6,3,0,
10/3/2022,lacewing,ovisacs,6,1,0,
10/3/2022,lacewing,ovisacs,6,2,0,
10/3/2022,lacewing,ovisacs,8,3,1,
10/3/2022,lacewing,ovisacs,8,1,0,
10/3/2022,lacewing,ovisacs,8,2,0,
10/3/2022,lacewing,ovisacs,8,3,0,
10/3/2022,lacewing,ovisacs,8,1,0,
10/3/2022,lacewing,crawlers,25,,25,
11/22/2022,lacewing,crawlers,30,,30,
11/22/2022,lacewing,crawlers,36,,33,
11/22/2022,lacewing,crawlers,30,,30,
11/22/2022,lacewing,crawlers,31,,20,
11/22/2022,lacewing,crawlers,32,,32,
11/22/2022,lacewing,crawlers,28,,28,
11/22/2022,lacewing,crawlers,27,,27,
11/22/2022,lacewing,crawlers,35,,35,
11/22/2022,lacewing,crawlers,32,,32,
11/22/2022,lacewing,eggs,246,,17,
11/22/2022,lacewing,eggs,248,,19,
7/28/2023,lacewing,ovisacs,9,,0,
7/28/2023,lacewing,ovisacs,4,,0,
7/28/2023,lacewing,ovisacs,7,,1,
7/28/2023,lacewing,ovisacs,5,,0,
8/3/2023,lacewing,ovisacs,13,,0,
8/3/2023,lacewing,ovisacs,3,,0,
8/3/2023,lacewing,ovisacs,10,,0,
8/3/2023,lacewing,ovisacs,1,,0,
8/3/2023,lacewing,ovisacs,4,,0,
8/3/2023,lacewing,ovisacs,6,,0,
8/3/2023,lacewing,ovisacs,10,,0,
8/3/2023,lacewing,ovisacs,7,,0,
8/3/2023,lacewing,ovisacs,15,,0,
